country,year,source,cost
Australia,2010,Bioenergy ,NA
Australia,2010,Geothermal ,NA
Australia,2010,Offshore wind ,NA
Australia,2010,Solar photovoltaic ,0.4239567
Australia,2010,Concentrated solar power ,NA
Australia,2010,Hydropower ,NA
Australia,2010,Onshore wind ,NA
Australia,2011,Bioenergy ,NA
Australia,2011,Geothermal ,NA
Australia,2011,Offshore wind ,NA
Australia,2011,Solar photovoltaic ,0.43069142
Australia,2011,Concentrated solar power ,NA
Australia,2011,Hydropower ,NA
Australia,2011,Onshore wind ,NA
Australia,2012,Bioenergy ,NA
Australia,2012,Geothermal ,NA
Australia,2012,Offshore wind ,NA
Australia,2012,Solar photovoltaic ,0.26103023
Australia,2012,Concentrated solar power ,NA
Australia,2012,Hydropower ,NA
Australia,2012,Onshore wind ,NA
Australia,2013,Bioenergy ,NA
Australia,2013,Geothermal ,NA
Australia,2013,Offshore wind ,NA
Australia,2013,Solar photovoltaic ,0.1501569
Australia,2013,Concentrated solar power ,NA
Australia,2013,Hydropower ,NA
Australia,2013,Onshore wind ,NA
Australia,2014,Bioenergy ,NA
Australia,2014,Geothermal ,NA
Australia,2014,Offshore wind ,NA
Australia,2014,Solar photovoltaic ,0.123621404
Australia,2014,Concentrated solar power ,NA
Australia,2014,Hydropower ,NA
Australia,2014,Onshore wind ,NA
Australia,2015,Bioenergy ,NA
Australia,2015,Geothermal ,NA
Australia,2015,Offshore wind ,NA
Australia,2015,Solar photovoltaic ,0.1066126
Australia,2015,Concentrated solar power ,NA
Australia,2015,Hydropower ,NA
Australia,2015,Onshore wind ,NA
Australia,2016,Bioenergy ,NA
Australia,2016,Geothermal ,NA
Australia,2016,Offshore wind ,NA
Australia,2016,Solar photovoltaic ,0.08202892
Australia,2016,Concentrated solar power ,NA
Australia,2016,Hydropower ,NA
Australia,2016,Onshore wind ,NA
Australia,2017,Bioenergy ,NA
Australia,2017,Geothermal ,NA
Australia,2017,Offshore wind ,NA
Australia,2017,Solar photovoltaic ,0.089927785
Australia,2017,Concentrated solar power ,NA
Australia,2017,Hydropower ,NA
Australia,2017,Onshore wind ,NA
Australia,2018,Bioenergy ,NA
Australia,2018,Geothermal ,NA
Australia,2018,Offshore wind ,NA
Australia,2018,Solar photovoltaic ,0.07406949
Australia,2018,Concentrated solar power ,NA
Australia,2018,Hydropower ,NA
Australia,2018,Onshore wind ,NA
Australia,2019,Bioenergy ,NA
Australia,2019,Geothermal ,NA
Australia,2019,Offshore wind ,NA
Australia,2019,Solar photovoltaic ,0.07070799
Australia,2019,Concentrated solar power ,NA
Australia,2019,Hydropower ,NA
Australia,2019,Onshore wind ,NA
Australia,2020,Bioenergy ,NA
Australia,2020,Geothermal ,NA
Australia,2020,Offshore wind ,NA
Australia,2020,Solar photovoltaic ,0.053563822
Australia,2020,Concentrated solar power ,NA
Australia,2020,Hydropower ,NA
Australia,2020,Onshore wind ,NA
Australia,2021,Bioenergy ,NA
Australia,2021,Geothermal ,NA
Australia,2021,Offshore wind ,NA
Australia,2021,Solar photovoltaic ,0.04228514
Australia,2021,Concentrated solar power ,NA
Australia,2021,Hydropower ,NA
Australia,2021,Onshore wind ,NA
Brazil,1998,Bioenergy ,NA
Brazil,1998,Geothermal ,NA
Brazil,1998,Offshore wind ,NA
Brazil,1998,Solar photovoltaic ,NA
Brazil,1998,Concentrated solar power ,NA
Brazil,1998,Hydropower ,NA
Brazil,1998,Onshore wind ,0.053076696
Brazil,2001,Bioenergy ,NA
Brazil,2001,Geothermal ,NA
Brazil,2001,Offshore wind ,NA
Brazil,2001,Solar photovoltaic ,NA
Brazil,2001,Concentrated solar power ,NA
Brazil,2001,Hydropower ,NA
Brazil,2001,Onshore wind ,0.14041322
Brazil,2002,Bioenergy ,NA
Brazil,2002,Geothermal ,NA
Brazil,2002,Offshore wind ,NA
