beach,master_id,material,structure,cm_from_tape,size_cm,quantity,m_from_base,frac_from_base
crackertom,crackertom_1,Foam,NA,25,1,1,0.0489505873304907,0.002
crackertom,crackertom_2,Other,NA,0,8,1,2.77896095690458,0.13
crackertom,crackertom_2,Other,NA,25,13,1,3.42025963926717,0.16
crackertom,crackertom_4,Rope,Fragment,100,26,1,11.2409963971171,0.72
crackertom,crackertom_9,Foam,Fragment,70,8,1,15.7003867468289,0.56
crackertom,crackertom_9,Hard plastic,Fragment,60,1,1,24.6720363164454,0.88
crackertom,crackertom_10,Foam,Other,2,10,1,3.18006741437977,0.246
crackertom,crackertom_10,Thin plastic,Fragment,70,4,1,3.37397396403707,0.261
crackertom,crackertom_11,Other,Fragment,38,3,1,1.95440311478401,0.277955271565495
crackertom,crackertom_11,Foam,Fragment,118,20,1,7.03135833249878,1
crackertom,crackertom_12,Hard plastic,Bottle,80,20,1,8.694,0.621
crackertom,crackertom_15,Other,Fragment,50,3,1,4.43145816182439,0.192
crackertom,crackertom_15,Foam,Fragment,0,6,1,11.632577674789,0.504
crackertom,crackertom_15,Thin plastic,Other,60,25,1,16.0871163478729,0.697
crackertom,crackertom_15,Thin plastic,Other,10,6,1,19.2260658791652,0.833
crackertom,crackertom_15,Hard plastic,Bottle,25,8,1,22.388095921717,0.97
crackertom,crackertom_16,Rope,Other,0,25,1,3.98538730363813,0.422
crackertom,crackertom_18,Thin plastic,Bottle,NA,1,1,3.18199622878469,0.146
crackertom,crackertom_18,Other,NA,NA,1,1,20.0509351402871,0.92
crackertom,crackertom_18,Thin plastic,Fragment,125,20,1,20.3996470557703,0.936
crackertom,crackertom_18,Other,NA,NA,1,1,21.7944947177034,1
crackertom,crackertom_19,Foam,Fragment,125,10,1,2.84956066789251,0.404
crackertom,crackertom_19,Hard plastic,Bottle,NA,1,1,5.995362791358,0.85
crackertom,crackertom_19,Foam,Other,NA,1,1,6.27749751095132,0.89
middle,middle_1,Thin plastic,Fragment,0.25,1.5,1,23.7049441045534,0.85
middle,middle_4,Other,Bottle,150,25,1,21.6764039856707,0.87
middle,middle_5,Other,Other,70,11,1,31.0811172587859,0.9124
middle,middle_5,Hard plastic,Cup,58,12.5,1,32.1984568533587,0.9452
middle,middle_6,Other,Other,0.25,127,1,29.0302777775205,0.951
middle,middle_9,Other,Other,75,10,1,6.66590128171727,0.224
middle,middle_9,Thin plastic,Bag,0,10,1,14.7602099809454,0.496
middle,middle_9,Hard plastic,Bottle,30,15,1,16.7837871557524,0.564
middle,middle_10,Thin plastic,Other,75,25,1,7.31266188514141,0.184
middle,middle_10,Hard plastic,Bag,100,15,1,32.3505802962234,0.814
middle,middle_17,Other,NA,NA,1,1,47.3651873188526,0.985
middle,middle_18,Other,Other,25,25,1,0,0
middle,middle_18,Other,Fragment,75,15,1,42.965586228981,0.86
middle,middle_19,Thin plastic,Other,NA,1,1,16.0685679511274,0.444
middle,middle_19,Other,NA,NA,1,1,36.1904683583951,1
northeast,northeast_1,Thin plastic,Bag,20,10,1,0.850546464946706,0.0554493307839388
northeast,northeast_1,Hard plastic,Fragment,5,3,1,12.2596007706111,0.799235181644359
northeast,northeast_3,Thin plastic,Bag,5,10,1,6.85671696032791,0.411764705882353
northeast,northeast_4,Other,Other,25,100,1,5.83424007637956,0.920634920634921
northeast,northeast_5,Foam,Fragment,5,15,1,5.68188906728788,0.495126705653021
northeast,northeast_7,Thin plastic,Bag,55,20,1,4.19407394784065,0.273422562141491
northeast,northeast_8,Foam,Fragment,100,20,1,15.4755852752711,0.447368421052632
northeast,northeast_11,Thin plastic,Bag,5,7,1,26.1709416980908,0.994690265486726
northeast,northeast_12,Hard plastic,Fragment,2,1,1,14.1439963780534,0.659926470588235
northeast,northeast_12,Other,Other,50,5,1,15.4835392105153,0.722426470588235
northeast,northeast_15,Other,Other,100,11,1,15.2959926379182,0.653985507246377
northeast,northeast_15,Other,Other,125,12,1,15.2959926379182,0.653985507246377
northeast,northeast_16,Thin plastic,Bag,NA,50,1,13.8951205464364,0.445
northeast,northeast_18,Thin plastic,Bag,60,20,1,0.0887918915216925,0.002
northeast,northeast_18,Thin plastic,Fragment,50,8,1,5.01674187097562,0.113
north,north_1,Foam,Fragment,30,2,1,37.7916525869324,0.524515393386545
north,north_1,Other,Other,150,10,1,40.667104414199,0.56442417331813
north,north_2,Thin plastic,Bag,10,15,1,12.3897987056865,0.592250922509225
north,north_2,Hard plastic,Bottle,50,15,1,19.9163119381128,0.952029520295203
north,north_2,Other,Fragment,10,12,1,20.0707019531369,0.959409594095941
north,north_4,Thin plastic,Bag,25,7,1,14.3584603400031,0.695009242144177
north,north_4,Hard plastic,Bottle,150,32,1,20.5448182524512,0.99445471349353
north,north_6,Hard plastic,Fragment,70,5,1,8.80024326115123,0.396709323583181
north,north_7,Hard plastic,Bag,65,22,1,12.9928304817721,0.847036328871893
north,north_8,Hard plastic,Bottle,40,20,1,20.1298286132793,1
north,north_9,Hard plastic,Bag,25,20,1,12.3690055053047,0.557586837294333
north,north_9,Other,Other,45,15,1,18.93877236386,0.853747714808044
north,north_9,Other,Other,100,10,1,20.0337335069526,0.903107861060329
north,north_10,Hard plastic,Bottle,35,12,1,10.206081005465,0.612903225806451
north,north_10,Other,Other,15,4,1,15.3249203952029,0.920303605313093
north,north_11,Other,Fragment,95,10,1,7.48791572867032,0.357933579335793
north,north_11,Other,Other,2,7,1,9.9581559690564,0.476014760147601
north,north_11,Other,Other,2,7,1,14.5512589160243,0.695571955719557
north,north_11,Rope,Other,20,7,1,19.8777144343568,0.950184501845018
north,north_12,Hard plastic,Bottle,85,20,1,10.1420094388213,0.646946564885496
north,north_12,Other,Other,150,12,1,10.7104406463069,0.683206106870229
north,north_12,Hard plastic,Bottle,10,15,1,14.8988811225163,0.950381679389313
north,north_12,Filament,Fragment,150,10,1,15.1083031463268,0.963740458015267
north,north_13,Hard plastic,Bottle,100,20,1,12.309481379179,0.936170212765957
north,north_14,Other,Other,50,3,1,0.479900885968085,0.0241635687732342
north,north_14,Hard plastic,Bottle,15,10,1,7.19851328952127,0.362453531598513
north,north_15,Hard plastic,Bottle,0,15,1,13.6624091385836,0.836501901140684
north,north_15,Glass,Bottle,25,25,1,16.3327891065794,1
top,top_1,Hard plastic,Fragment,10,4,1,10.4173265936792,0.9453125
top,top_1,Hard plastic,Other,50,3,1,10.5034202018914,0.953125
top,top_1,Hard plastic,Other,100,15,1,10.8477946347403,0.984375
top,top_2,Thin plastic,Fragment,40,5,1,4.28766350440825,0.676587301587302
top,top_2,Other,Other,80,10,1,4.5517131630375,0.718253968253968
top,top_2,Foam,Fragment,2,6,1,6.32461801383387,0.998015873015873
top,top_3,Foam,Other,60,20,1,0.425023197946732,0.037037037037037
top,top_3,Hard plastic,Fragment,60,1,1,4.45155875744208,0.387914230019493
top,top_4,Hard plastic,Fragment,23,2,1,0.919210318640527,0.102362204724409
top,top_4,Foam,Fragment,35,7,1,2.73995383440926,0.30511811023622
top,top_4,Other,Other,75,10,1,5.46223054730621,0.608267716535433
top,top_4,Other,Bottle,100,12,1,5.76274161301561,0.641732283464567
top,top_4,Hard plastic,Fragment,75,3,1,8.50269544742487,0.946850393700787
