beach,master_id,latitude,longitude,length_m,width_m,area_m2
crackertom,crackertom_1,31.6245,-81.1344,50,24.4752936652454,150
crackertom,crackertom_2,31.6224,-81.135,50,21.3766227454198,150
crackertom,crackertom_3,31.6256,-81.1344,50,22.2027025382047,150
crackertom,crackertom_4,31.619,-81.1381,50,15.612494995996,150
crackertom,crackertom_5,31.6277,-81.135,50,18.8761754600873,150
crackertom,crackertom_6,31.6263,-81.136,50,33.2972971876097,150
crackertom,crackertom_7,31.6287,-81.1344,50,34.3847349851646,150
crackertom,crackertom_8,31.6267,-81.1352,50,30.6553421119387,150
crackertom,crackertom_9,31.61844,-81.13818,50,28.0364049050516,150
crackertom,crackertom_10,31.6147,-81.14063,50,12.9271033104869,150
crackertom,crackertom_11,31.6159,-81.139,31.3,7.03135833249878,93.9
crackertom,crackertom_12,31.6131,-81.14142,50,14,150
crackertom,crackertom_13,31.6036,-81.1466,50,12.1552457811432,150
crackertom,crackertom_14,31.6092,-81.1435,50,9.9498743710662,150
crackertom,crackertom_15,31.6071,-81.1448,100,23.080511259502,300
crackertom,crackertom_16,31.6085,-81.143917,50,9.44404574321832,150
crackertom,crackertom_17,31.6029,-81.1466,50,7.05336798983295,150
crackertom,crackertom_18,31.6017,-81.1472,50,21.7944947177034,150
crackertom,crackertom_19,31.6012,-81.1474,50,7.05336798983295,150
crackertom,crackertom_20,31.6003,-81.1479,50,15.3049011757672,150
middle,middle_1,31.6532,-81.13684,50,27.8881695347687,150
middle,middle_2,31.6523,-81.136389,50,24.4752936652454,150
middle,middle_3,31.6514,-81.136389,50,27.3601443709641,150
middle,middle_4,31.6501,-81.136111,50,24.9154068800812,150
middle,middle_5,31.6466,-81.13583,50,34.0652315418522,150
middle,middle_6,31.6472,-81.135833,50,30.5260544453423,150
middle,middle_7,31.6488,-81.13611,50,31.6592798401985,150
middle,middle_8,31.6496,-81.136111,50,30.4610817273451,150
middle,middle_9,31.646,-81.136,50,29.7584878648093,150
middle,middle_10,31.6451,-81.1358,50,39.7427276366381,150
middle,middle_11,31.6432,-81.1353,85,63.4326698161129,255
middle,middle_12,31.6444,-81.1356,50,17.7587274318854,150
middle,middle_13,31.639,-81.1358,50,4.46766158073774,150
middle,middle_14,31.6399,-81.1355,50,7.72269383052313,150
middle,middle_15,31.6404,-81.1355,50,17.331762749357,150
middle,middle_16,31.6414,-81.1355,50,14.6683332386471,150
middle,middle_17,31.6554,-81.1361,50,48.0864845876677,150
middle,middle_18,31.6548,-81.136,50,49.9599839871872,150
middle,middle_19,31.6563,-81.1362,50,36.1904683583951,150
middle,middle_20,31.6543,-81.1363,50,30.9113247855863,150
northeast,northeast_1,31.6957,-81.1321,52.3,15.3391655574871,156.9
northeast,northeast_2,31.6955,-81.1315,53.3,18.4632066553998,159.9
northeast,northeast_3,31.6949,-81.1304,52.7,16.6520269036535,158.1
northeast,northeast_4,31.6945,-81.1297,50.4,6.33719180710193,151.2
northeast,northeast_5,31.6926,-81.1293,51.3,11.4756263445618,153.9
northeast,northeast_6,31.6917,-81.1293,51.1,10.545615202538,153.3
northeast,northeast_7,31.6905,-81.1297,52.3,15.3391655574871,156.9
northeast,northeast_8,31.69,-81.1295,60.8,34.592484732959,182.4
northeast,northeast_9,31.6887,-81.1304,61.6,35.9799944413559,184.8
northeast,northeast_10,31.6876,-81.1308,63.5,39.1439650520997,190.5
northeast,northeast_11,31.6849,-81.1333,56.5,26.3106442338457,169.5
northeast,northeast_12,31.6806,-81.1361,54.4,21.4326853193901,163.2
northeast,northeast_13,31.6812,-81.1359,53.1,17.8776396652355,159.3
northeast,northeast_14,31.6853,-81.1333,57.7,28.7973957155851,173.1
northeast,northeast_15,31.6803,-81.1363,55.2,23.38888624967,165.6
northeast,northeast_16,31.69022,-81.12953,100,31.224989991992,300
northeast,northeast_17,31.69235,-81.12926,50,21.7944947177034,150
northeast,northeast_18,31.6896,-81.1298,50,44.3959457608462,150
north,north_1,31.6621,-81.1366,87.7,72.0506072146516,263.1
north,north_2,31.6652,-81.1376,54.2,20.9198470357697,162.6
north,north_3,31.6659,-81.1378,53.9,20.1298286132793,161.7
north,north_4,31.6682,-81.138,54.1,20.659380436015,162.3
north,north_5,31.66908,-81.1381,52.1,14.6427456441748,156.3
north,north_6,31.6714,-81.1382,54.7,22.1831016767268,164.1
north,north_7,31.6733,-81.138,52.3,15.3391655574871,156.9
north,north_8,31.6742,-81.138,53.9,20.1298286132793,161.7
north,north_9,31.6751,-81.1377,54.7,22.1831016767268,164.1
north,north_10,31.6755,-81.1377,52.7,16.6520269036535,158.1
north,north_11,31.6777,-81.1371,54.2,20.9198470357697,162.6
north,north_12,31.6706,-81.1381,52.4,15.6767343538123,157.2
north,north_13,31.6733,-81.1382,51.7,13.1487642004867,155.1
north,north_14,31.6783,-81.137,53.8,19.8605135885253,161.4
north,north_15,31.6774,-81.1371,52.6,16.3327891065794,157.8
top,top_1,31.6978,-81.1496,51.2,11.0199818511647,153.6
top,top_2,31.6979,-81.1489,50.4,6.33719180710193,151.2
top,top_3,31.6983,-81.147,51.3,11.4756263445618,153.9
top,top_4,31.6984,-81.1465,50.8,8.97997772825745,152.4
top,top_5,31.6987,-81.1447,50.5,7.08872343937892,151.5
top,top_6,31.6988,-81.1442,50.2,4.47660585711994,150.6
top,top_7,31.6989,-81.1434,52.4,15.6767343538123,157.2
top,top_8,31.6989,-81.1429,50.9,9.52942810456116,152.7
top,top_9,31.6987,-81.1416,50.7,8.39583229942097,152.1
top,top_10,31.6987,-81.1413,50.4,6.33719180710193,151.2
top,top_11,31.6985,-81.1407,50.6,7.76916983982203,151.8
top,top_12,31.6982,-81.1387,51.1,10.545615202538,153.3
top,top_13,31.698,-81.1373,51.4,11.9146968068852,154.2
top,top_14,31.6979,-81.1367,51.7,13.1487642004867,155.1
top,top_15,31.6976,-81.136,51.3,11.4756263445618,153.9
south,south_1,31.5619,-81.16998,58.4,30.1754867400677,175.2
south,south_2,31.5624,-81.16846,52.2,14.9946657181813,156.6
south,south_3,31.5661,-81.16547,52.3,15.3391655574871,156.9
south,south_4,31.5665,-81.16515,54.7,22.1831016767268,164.1
south,south_5,31.5714,-81.16177,57.5,28.3945417290014,172.5
south,south_6,31.5727,-81.16112,52.1,14.6427456441748,156.3
south,south_7,31.5745,-81.16015,54.6,21.9353595821906,163.8
south,south_8,31.577,-81.15898,52.5,16.0078105935821,157.5
south,south_9,31.5776,-81.15865,56.8,26.9488404203224,170.4
south,south_10,31.5796,-81.15771,59.5,32.2529068457403,178.5
south,south_11,31.5805,-81.15735,60,33.166247903554,180
south,south_12,31.5818,-81.15675,64.1,40.109973821981,192.3
south,south_13,31.5831,-81.15588,68.5,46.8214694344379,205.5
south,south_14,31.5852,-81.15477,71,50.4083326445142,213
south,south_15,31.5858,-81.15471,57,27.367864366808,171
south,south_16,31.5863,-81.15434,56.5,26.3106442338457,169.5
south,south_17,31.5891,-81.15318,56,25.219040425837,168
south,south_18,31.5918,-81.152,55.4,23.8570744224852,166.2
south,south_19,31.596,-81.15011,60.2,33.5267057731594,180.6
south,south_20,31.5981,-81.14899,59.6,32.4370158923413,178.8
